iter	Passed	Remaining
0	0	89
1	1	86
2	2	83
3	3	76
4	3	65
5	3	58
6	4	53
7	4	49
8	4	46
9	4	44
10	5	42
11	5	40
12	5	38
13	6	37
14	6	35
15	6	34
16	6	33
17	7	32
18	7	31
19	7	30
20	8	30
21	8	29
22	8	28
23	8	28
24	9	27
25	9	26
26	9	26
27	10	25
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	22
34	12	22
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	21	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	7
77	23	6
78	24	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	27	2
93	28	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	29	0
